Vila São Sebastião
Line 649: ,Line 2526931: 522045405000003,1,RUA,,MARIA FERREIRA MAIA,,SN,QUADRA,11,LOTE,23,,,,,,,,,-16.7031875888837,-49.083814026332746,BAIRRO SAO FRANCISCO,1,,,,16,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 653: ,Line 2526935: 522045405000003,1,RUA,,HELIO CAMPOS,,SN,QUADRA,5 A,LOTE,4,,,,,,,,,-16.7035787226307,-49.084544318455,BAIRRO SAO FRANCISCO,7,,,,18,1,75250000,,Senador Canedo,Senador Canedo,GO
Line 795: ,Line 2527077: 522045405000003,1,AVENIDA,COMENDADOR,AVELINO MAIA,,SN,QUADRA,20,LOTE,16,,,,,,,,,-16.70725350748285,-49.0809984578416,BAIRRO SAO FRANCISCO,1,,,,34,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 834: ,Line 2527116: 522045405000003,1,RUA,,OITO,,SN,QUADRA,8,LOTE,16,,,,,,,,,-16.705341898901647,-49.086161974809116,BAIRRO SAO FRANCISCO,7,,,,21,3,75250000,,Senador Canedo,Senador Canedo,GO
Vila Matinha
Line 10973: ,Line 2537255: 522045405000040,1,RUA,,QUATRO,,SN,QUADRA,3,LOTE,3,CASA,2,,,,,,,-16.640474984999997,-49.13816904,VILA MATINHA,1,,,,1,7,75250000,,Senador Canedo,Senador Canedo,GO
Line 10996: ,Line 2537278: 522045405000040,1,AVENIDA,SENADOR,CANEDO,,SN,QUADRA,3,CHACARA,2,,,,,,,,,-16.64474092575891,-49.140263981509996,VILA MATINHA,1,,,,1,8,75250000,,Senador Canedo,Senador Canedo,GO
Line 11003: ,Line 2537285: 522045405000040,1,RODOVIA,,GO 010,8450,KM,CASA,3,,,,,,,,,,,-16.63508899939856,-49.138076283705345,VILA MATINHA,6,BORRACHARIA,1,,2,1,75250000,,Senador Canedo,Senador Canedo,GO
Line 11023: ,Line 2537305: 522045405000040,1,RUA,,OITO,,SN,QUADRA,19,LOTE,6,CASA,1,,,,,,,-16.635573599163052,-49.136737325053005,VILA MATINHA,1,,,,5,1,75250000,,Senador Canedo,Senador Canedo,GO
Line 11058: ,Line 2537340: 522045405000040,1,RUA,,SEIS,,SN,QUADRA,14,LOTE,16,CASA,2,,,,,,,-16.636878495,-49.13678448,VILA MATINHA,1,,,,6,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 11131: ,Line 2537413: 522045405000040,1,RUA,,SETE,,SN,QUADRA,18,LOTE,3,CASA,2,,,,,,,-16.636608,-49.13620056,VILA MATINHA,1,,,,12,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 11134: ,Line 2537416: 522045405000040,1,RUA,,QUATRO,,SN,QUADRA,16,LOTE,9,,,,,,,,,-16.637096939944783,-49.136058408056925,VILA MATINHA,1,,,,13,1,75250000,,Senador Canedo,Senador Canedo,GO
Line 11144: ,Line 2537426: 522045405000040,1,RUA,,DOIS,,SN,QUADRA,16,LOTE,19,CASA,3,,,,,,,-16.637534504999998,-49.1356215,VILA MATINHA,1,,,,13,2,75250000,,Senador Canedo,Senador Canedo,GO
Line 11156: ,Line 2537438: 522045405000040,1,RUA,,CINCO,,SN,QUADRA,16,LOTE,2,CASA,1,,,,,,,-16.638073515,-49.13628984,VILA MATINHA,1,,,,13,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 11232: ,Line 2537514: 522045405000040,1,RUA,,LEOPOLDO DE BULHOES,,SN,CHACARA,21,CASA,1,,,,,,,,,-16.636025405829468,-49.13488673026675,VILA MATINHA,1,,,,21,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 11255: ,Line 2537537: 522045405000040,1,RUA,,JO TRINTA E NOVE,,SN,QUADRA,B,LOTE,25,,,,,,,,,-16.647687579815397,-49.14326121512805,VILA MATINHA,1,,,,22,3,75250000,,Senador Canedo,Senador Canedo,GO
Line 11266: ,Line 2537548: 522045405000040,1,RUA,,SETE,,SN,QUADRA,13,LOTE,11,,,,,,,,,-16.635964995000002,-49.13741844,VILA MATINHA,1,,,,3,2,75250000,,Senador Canedo,Senador Canedo,GO
Line 11314: ,Line 2537596: 522045405000040,1,RUA,,QUATRO,,SN,QUADRA,16,LOTE,1,CASA,4,,,,,,,-16.637096939944783,-49.136058408056925,VILA MATINHA,1,,,,13,1,75250000,,Senador Canedo,Senador Canedo,GO
Line 11335: ,Line 2537617: 522045405000040,1,RUA,,LEOPOLDO DE BULHOES,,SN,CHACARA,23,CASA,3,,,,,,,,,-16.636025405829468,-49.13488673026675,VILA MATINHA,1,,,,21,3,75250000,,Senador Canedo,Senador Canedo,GO
